VMVSNAME MVS name,VUSSNAME USS name,VMVSUSED Used in MVS,VUSSUSED Used in USS,VBLDSPEC Build-specific,VSAMPLE Sample value
ASMMAC2,GERS_HLASM_TK_MAC_LIB,Y,,,ASM.SASMMAC2
ASMMOD2,GERS_HLASM_TK_MOD_LIB,Y,,,ASM.SASMMOD2
BLDHLQ,GERS_BUILD_HLQ,Y,,,GEBT.RHN
BLDMAJ,GERS_PE_MAJOR_REL_NBR,Y,,Y,12
BLDMIN,GERS_PE_MINOR_REL_NBR,Y,,Y,123
BLDNBR,GERS_PE_BUILD_NBR,Y,,,1234
BLDVER,GERS_PE_VERSION_NBR,Y,,Y,5
BRCHPEB,GERS_BRANCH_PEB,Y,,Y,main
BRCHPEX,GERS_BRANCH_PEX,Y,,Y,main
BRCHRUN,GERS_BRANCH_RUN,Y,,Y,master
CEELIB,GERS_LE_DLL_LIB,Y,,,CEE.SCEELIB
CEELKED,GERS_LE_CALL_LIB,Y,,,CEE.SCEELKED
CEEMAC,GERS_LE_MAC_LIB,Y,,,CEE.SCEEMAC
CEERUN,GERS_LE_RUN_LIB,Y,,,CEE.SCEERUN
CLONPEB,GERS_CLONE_PEB,Y,,Y,Y
CLONPEX,GERS_CLONE_PEX,Y,,Y,Y
CLONRUN,GERS_CLONE_RUN,Y,,Y,Y
CMETHOD,GERS_CLONING_METHOD,Y,,,SSH
CSSLIB,GERS_CSS_LIB,Y,,,SYS1.CSSLIB
DB2EXIT,GERS_DB2_EXIT_LIB,Y,Y,,DSN.V12R1M0.SDSNEXIT
DB2LOAD,GERS_DB2_LOAD_LIB,Y,Y,,DSN.V12R1M0.SDSNLOAD
DB2QUAL,GERS_DB2_QUALIFIER,Y,,,SDATRT01
DB2RUN,GERS_DB2_RUN_LIB,Y,,,DSN121.RUNLIB.LOAD
DB2SFX,GERS_DB2_PLAN_SUFFIX,Y,,,R
DB2SYS,GERS_DB2_SUBSYSTEM,Y,Y,,DM12
DB2UTIL,GERS_DB2_UTILITY,Y,,,DSNTIA12
ENVHLQ,GERS_ENV_HLQ,Y,Y,,GEBT.RHN
INCLPEX,GERS_INCLUDE_PEX,Y,,,Y
ISPLLIB,GERS_ISPF_LOAD_LIB,Y,,,ISP.SISPLOAD
ISPMLIB,GERS_ISPF_MSG_LIB,Y,,,ISP.SISPMENU
ISPPLIB,GERS_ISPF_PANEL_LIB,Y,,,ISP.SISPPENU
ISPSLIB,GERS_ISPF_SKEL_LIB,Y,,,ISP.SISPSENU
ISPTLIB,GERS_ISPF_TABLE_LIB,Y,,,ISP.SISPTENU
JACTINF,GERS_JOB_ACCT_INFO,Y,,,ACCT
JARSDIR,GERS_JARS,Y,,,/u/rhness/gersjars
JJOBCLS,GERS_JOB_CLASS,Y,,,A
JMSGCLS,GERS_MSG_CLASS,Y,,,H
JMSGLVL,GERS_MSG_LEVEL,Y,,,"(1,1)"
JUPERM,GERS_PERM_UNIT_NAME,Y,,,DISK
JUTEMP,GERS_TEMP_UNIT_NAME,Y,,,TEMPDISK
LINKLIB,GERS_LINK_LIB,Y,,,SYS1.LINKLIB
MAJHLQ,,Y,,,GEBT.RHN.PM512
MINHLQ,,Y,,,GEBT.RHN.PM512123
RCADB2,GERS_RCG_DB2_INPUT,,Y,,N
RCAJDIR,GERS_RCA_JAR_DIR,Y,,,/u/rhness/RCA
RELEASE,GERS_PE_REL_NBR,Y,,,512123
RELFMT,GERS_PE_REL_NBR_FORMATTED,Y,,,5.12.123
REPODIR,GERS_GIT_REPO_DIR,Y,,,/u/rhness/git/SAFR
TFHLQ,GERS_TEST_HLQ,Y,Y,,GEBT.RTEST
TFLIST,GERS_TEST_SPEC_FILE_LIST,Y,Y,,DefaultSpecList.yaml
TGTHLQ,GERS_TARGET_HLQ,Y,,,GEBT.RHN.PM512123.B1234
USSEXEC,GERS_USS_EXEC_LIB,Y,,,SYS1.SBPXEXEC
USSMLIB,GERS_USS_MSG_LIB,Y,,,SYS1.SBPXMENU
WBDBTYP,GERS_WB_DB_TYPE,Y,,,DB2
